REVIEW_ID,EMPLOYEE_ID,REVIEW_DATE,REVIEW_PERIOD,RATING,SENTIMENT,SENTIMENT_SCORE,GOALS_MET,GOALS_TOTAL,MANAGER_COMMENTS
1,3,2026-03-26,H1 2025,4.0,Positive,-0.43,3,7,Ball read lose south keep thus positive arm. Security painting rest write fine public some mean.
2,5,2025-06-27,H2 2025,3.0,Neutral,0.83,7,8,End be spend outside office. Expert mission should character station eye perform.
3,26,2025-10-09,H2 2025,3.5,Neutral,-0.44,2,7,Here American itself ago out able.
4,13,2025-03-20,H2 2025,3.5,Positive,0.89,5,7,Help PM become rich every. If none dog chance.
5,7,2025-04-15,H1 2025,4.5,Positive,0.54,8,6,Direction focus product hand start size heart. Need always like.
6,16,2026-03-13,H2 2025,3.5,Positive,0.3,2,8,Drive own pass least great. Sign single well. Continue ask environmental another business hot strong.
7,33,2025-07-03,H1 2026,4.0,Positive,-0.58,3,7,Trip school energy safe while popular natural. Marriage us middle her shake month ask.
8,17,2025-06-19,H2 2025,3.5,Neutral,-0.01,3,7,Choice assume recent people far. Miss population project film.
9,33,2025-02-25,H1 2025,4.0,Positive,0.48,2,7,Again these series candidate. Issue bit whether edge left American hope.
10,5,2025-08-30,H2 2025,3.5,Positive,0.22,4,6,Church watch health fact them cost. Return hard myself cost court. Protect like film. Tell message whether morning trouble.
11,8,2025-02-26,H2 2025,4.0,Neutral,-0.35,4,7,Room happy new may condition.
12,3,2025-05-17,H1 2026,4.0,Positive,-0.59,2,7,Rise care particular recent purpose future. Rather arm table draw trouble.
13,50,2025-04-23,H1 2026,4.0,Positive,0.22,2,8,Create moment onto third business rock. South bed represent lawyer.
14,31,2026-01-21,H1 2025,4.0,Positive,0.52,7,7,Name paper cup order. Quickly manage care popular yourself always image alone. What truth partner measure.
15,40,2025-09-04,H2 2025,5.0,Positive,0.78,3,7,Believe whether teach single result modern. Action continue star. Only free increase.
16,35,2025-12-25,H1 2025,3.5,Neutral,0.84,5,7,Study model actually read. Line reflect enough exist without build. True think quite hot particular generation.
17,11,2026-01-02,H1 2026,3.5,Positive,-0.54,5,8,Find audience but moment. Expert much difficult however local study only.
18,35,2025-08-11,H1 2026,3.0,Neutral,-0.29,5,7,Color reveal walk paper media. Drive every front baby. Value receive tax family mind.
19,27,2026-04-07,H1 2026,3.5,Positive,-0.05,4,8,Stop piece sing. Down very investment whom season mind. Bring can sister adult.
20,26,2025-05-07,H1 2026,3.5,Positive,-0.31,3,8,Themselves area those guess huge.
21,43,2025-12-29,H1 2026,4.0,Neutral,0.01,7,7,Stand several hit rate. Fly seat beyond compare. Effect future appear involve nearly. Occur magazine suggest interesting no total.
22,14,2026-01-28,H1 2025,3.0,Neutral,-0.15,8,8,Worker story face white break. To above month language create. Down television tree say more. Animal do hear rich apply project.
23,27,2025-02-12,H1 2025,3.5,Negative,0.39,6,7,Paper answer happy. Oil ask eye off various research laugh. Old close series relationship perhaps.
24,12,2026-03-20,H1 2025,3.5,Neutral,-0.34,7,8,Short of heart sister fast need. Service second put seven take bed mission certain. Often PM notice chair north family. Thought notice society task well three board.
25,37,2025-05-30,H2 2025,4.0,Neutral,-0.37,4,7,Sister simply involve nor whether. Imagine record wrong list.
26,16,2025-05-04,H1 2026,3.5,Neutral,0.55,6,8,Lead individual through politics. See finally wall right. Parent for production traditional practice together minute.
27,41,2025-01-27,H1 2026,4.0,Positive,-0.59,8,6,Structure wonder stock. Whether thought brother central reason particular. Air source six image several name.
28,22,2025-03-24,H1 2025,4.5,Positive,-0.37,3,7,Produce behavior nearly of general piece. Address loss international public rate.
29,5,2025-12-28,H2 2025,3.5,Negative,0.07,4,8,Southern finish front under build. Since human chance onto significant.
30,12,2025-10-14,H1 2025,4.5,Positive,0.72,3,7,Personal American ahead where long. A property message outside traditional. Artist area street shake mean avoid.
31,8,2026-06-20,H1 2026,3.5,Neutral,0.34,7,7,Friend wide take answer at month partner evidence. Picture available scene approach imagine.
32,45,2025-09-03,H1 2026,4.0,Positive,0.07,8,6,Miss the we politics phone anyone happy point. Admit manager kind example class.
33,9,2026-01-16,H2 2025,3.5,Neutral,0.28,8,7,Rise several in candidate. General new begin their. Step type type word not usually at sing.
34,29,2025-06-26,H2 2025,2.5,Positive,0.41,4,7,View push enjoy wife cup law.
35,6,2026-01-04,H1 2025,3.0,Positive,-0.01,3,6,West fire resource commercial. Trouble husband level until less daughter.
