CUSTOMER_ID,CUSTOMER_NUMBER,DISPLAY_NAME,ADDRESS_COUNTRY,CUSTOMER_TYPE,CREDIT_LIMIT,BALANCE_DUE
1,C1,"Rodriguez, Figueroa and Sanchez",Indonesia,Company,50000,13392.64
2,C2,Doyle Ltd,Philippines,Company,250000,5216.33
3,C3,"Mcclain, Miller and Henderson",Vietnam,Company,50000,30321.32
4,C4,Davis and Sons,Singapore,Company,100000,32696.49
5,C5,"Guzman, Hoffman and Baldwin",Thailand,Company,250000,389.93
6,C6,"Gardner, Robinson and Lawrence",Philippines,Company,100000,9328.77
7,C7,Blake and Sons,Malaysia,Company,50000,5802.98
8,C8,"Henderson, Ramirez and Lewis",Malaysia,Company,250000,43783.91
9,C9,Garcia-James,Indonesia,Person,100000,33122.44
10,C10,Abbott-Munoz,Philippines,Company,250000,34641.13
11,C11,Blair PLC,Philippines,Company,50000,17363.28
12,C12,Dudley Group,Singapore,Company,50000,16678.42
13,C13,Arnold Ltd,Indonesia,Company,100000,12570.42
14,C14,"Mcclure, Ward and Lee",Thailand,Person,100000,36547.86
15,C15,Williams and Sons,Thailand,Company,50000,22767.33
16,C16,Galloway-Wyatt,Malaysia,Company,100000,41076.86
17,C17,James Group,Malaysia,Company,50000,1926.01
18,C18,"Flowers, Martin and Kelly",Thailand,Company,50000,56574.58
19,C19,"Adams, Zuniga and Wong",Malaysia,Company,250000,23737.91
20,C20,"Reid, Ferguson and Sanchez",Malaysia,Company,50000,14797.65
21,C21,Gray-Mayo,Indonesia,Company,100000,53869.37
22,C22,"Watts, Robinson and Nguyen",Vietnam,Company,500000,30571.58
23,C23,Perez Inc,Singapore,Company,50000,37646.76
24,C24,Morales-Jones,Philippines,Company,50000,22897.16
25,C25,"Walter, Edwards and Rios",Malaysia,Company,500000,51646.78
26,C26,Wilkerson-Day,Singapore,Company,250000,32218.22
27,C27,Baker and Sons,Thailand,Company,50000,26085.92
28,C28,"Hoffman, Baker and Richards",Vietnam,Person,250000,15803.34
29,C29,"Ross, Robinson and Bright",Indonesia,Company,500000,52231.11
30,C30,"Snyder, Campos and Callahan",Thailand,Company,100000,9170.36
