LEAVE_ID,EMPLOYEE_ID,LEAVE_TYPE,START_DATE,DAYS,STATUS,REASON
1,41,Sick,2025-11-09,4,Approved,Here and ahead subject others test.
2,33,Personal,2026-05-02,3,Pending,Resource business natural stand country himself behavior.
3,45,Unpaid,2025-12-23,7,Approved,True dog need up.
4,14,Sick,2025-10-10,4,Approved,Political be member another lot.
5,2,Annual,2025-12-06,3,Pending,Situation short nearly catch fire impact.
6,44,Annual,2025-12-29,8,Rejected,First put best about safe yes lead seem.
7,28,Unpaid,2026-07-26,7,Approved,About stage everything forget.
8,39,Annual,2026-03-08,6,Approved,Here street former total animal item to hope.
9,28,Sick,2026-04-23,10,Approved,Begin actually positive trouble federal.
10,44,Annual,2025-09-07,8,Approved,Remember region through wall.
11,2,Annual,2026-04-21,7,Pending,Ability language food human stand.
12,50,Annual,2026-08-09,10,Approved,Especially peace among past happen no crime information.
13,23,Unpaid,2026-08-07,8,Rejected,Family cell move nothing perform.
14,25,Annual,2026-04-28,2,Approved,Home learn address doctor.
15,35,Annual,2025-12-25,2,Approved,Newspaper mind play brother more radio.
16,48,Annual,2026-06-27,8,Approved,Sit authority air sort investment guy such.
17,20,Sick,2026-08-17,8,Approved,Lawyer help really door against beautiful it.
18,27,Annual,2026-08-07,3,Approved,Lawyer white miss next their herself.
19,44,Personal,2026-05-08,8,Approved,Within network accept want today.
20,12,Annual,2026-08-13,10,Approved,Various wait six guess member will.
21,35,Sick,2025-09-15,5,Approved,Leave lead relationship provide.
22,45,Sick,2025-11-19,8,Approved,Major his continue avoid.
23,11,Annual,2026-06-25,6,Approved,Pull strong necessary exactly part or vote.
24,44,Annual,2025-09-30,4,Approved,Entire class owner local mention avoid.
25,16,Annual,2026-07-22,3,Pending,Specific think tree.
26,3,Annual,2025-12-14,6,Pending,Return hand trouble black network.
27,38,Personal,2025-12-17,8,Pending,Health street animal itself media.
28,8,Annual,2025-11-01,3,Approved,Suddenly center suddenly.
29,39,Sick,2026-04-03,8,Approved,Market a off visit anyone place.
30,45,Annual,2026-08-19,9,Pending,Understand together improve week least.
31,24,Sick,2025-10-15,7,Approved,Still everything ten yeah me.
32,18,Annual,2026-08-16,7,Approved,Particularly thought those evidence around magazine present.
33,6,Annual,2026-07-28,6,Approved,Consumer read response drive carry information hope.
34,33,Personal,2025-10-31,2,Approved,Under some health loss arrive goal none.
35,6,Sick,2026-07-28,4,Approved,Before off window particular.
36,35,Annual,2026-01-03,8,Approved,Though body staff beat control ball they.
37,43,Annual,2026-03-21,2,Approved,Dinner stage soldier apply notice current.
38,15,Annual,2026-01-22,3,Approved,Left special order.
39,26,Annual,2025-09-21,9,Pending,Above low town.
40,8,Sick,2026-01-05,10,Approved,Theory off fine represent.
41,20,Personal,2025-10-31,6,Pending,Dinner position something miss including.
42,31,Personal,2025-11-26,8,Approved,Of tend include capital either what she.
43,14,Annual,2026-03-08,9,Approved,Student because person return understand within.
44,35,Personal,2025-09-27,3,Approved,Source specific bar top rise.
45,33,Annual,2025-09-25,8,Approved,Along forward child simple.
46,5,Sick,2025-12-26,7,Pending,Idea range attention throughout degree think so growth.
47,24,Unpaid,2026-01-03,7,Approved,Model thing drop the character.
48,28,Annual,2026-02-02,7,Approved,Art television without itself seat language open.
49,43,Sick,2026-03-01,7,Approved,Wrong you through us me.
50,15,Sick,2025-10-26,8,Approved,Field computer son him wonder traditional why.
51,33,Personal,2026-07-18,3,Approved,Image case answer free knowledge.
52,34,Annual,2025-09-29,7,Approved,Until relate hour large friend bag.
53,27,Annual,2025-10-04,3,Pending,City north role act alone view.
54,3,Annual,2026-03-11,5,Approved,Blue management record room program outside.
55,22,Annual,2026-05-23,10,Approved,Between bar beyond single walk.
56,20,Personal,2026-04-19,9,Approved,Over rather central south.
57,49,Personal,2026-08-09,10,Approved,Radio approach reflect collection agency response.
58,44,Sick,2026-07-26,10,Approved,Try fire turn environmental wait radio.
