PRODUCT_ID,ITEM_NUMBER,DISPLAY_NAME,CATEGORY,UNIT_PRICE,UNIT_COST,INVENTORY
1,ITM-1,Industrial Sensor Kit,Tool,1359.96,1403.74,543
2,ITM-2,Hydraulic Pump,Tool,1507.39,884.6,114
3,ITM-3,Control Module,Tool,2199.84,1498.68,314
4,ITM-4,Steel Bracket Set,Hardware,621.16,1025.57,80
5,ITM-5,Conveyor Belt,Hardware,1227.83,133.89,545
6,ITM-6,Servo Motor,Tool,342.77,860.76,562
7,ITM-7,PLC Controller,Hardware,1330.99,1095.8,216
8,ITM-8,Pressure Valve,Tool,1894.28,1244.86,319
9,ITM-9,Bearing Assembly,Component,1687.43,678.42,529
10,ITM-10,Gear Box,Component,638.57,124.61,21
11,ITM-11,Power Supply Unit,Consumable,594.53,404.19,72
12,ITM-12,Cooling Fan Array,Consumable,170.71,130.65,32
13,ITM-13,Cable Harness,Tool,200.37,436.03,497
14,ITM-14,Touchscreen Panel,Hardware,352.47,1684.57,584
15,ITM-15,Safety Relay,Consumable,626.42,856.62,416
16,ITM-16,Linear Actuator,Hardware,264.9,781.58,433
17,ITM-17,Filtration Cartridge,Component,2163.0,106.97,100
18,ITM-18,Welding Electrode Pack,Hardware,1827.33,1443.06,111
19,ITM-19,Lubricant Drum,Hardware,495.77,813.02,432
20,ITM-20,Calibration Tool,Hardware,1170.0,1575.33,77
