PROJECT_ID,PROJECT_NAME,CLIENT,STATUS,START_DATE,END_DATE,HOURLY_RATE,IS_BILLABLE
1,Advanced object-oriented forecast,Mendoza-Peterson,Active,2026-04-25,2026-08-19,98,true
2,Business-focused eco-centric matrices,Short Group,Active,2025-02-14,2026-09-07,109,true
3,Pre-emptive asynchronous orchestration,"Parks, Hernandez and Shepherd",On Hold,2025-03-19,2026-10-27,105,true
4,Innovative attitude-oriented encryption,Grant Group,Active,2025-08-10,2027-03-16,138,true
5,Robust radical utilization,"Perez, Mills and Hayes",Active,2026-03-06,2026-11-25,97,true
6,Organic exuding parallelism,Torres-Oliver,Completed,2025-07-22,2027-05-08,117,true
7,Seamless user-facing attitude,Garrett LLC,Active,2025-08-24,2026-09-18,160,true
8,Switchable attitude-oriented complexity,Thompson Inc,Active,2026-03-28,2027-06-09,150,true
9,Diverse 24hour installation,Norris-Harrison,Active,2025-10-07,2027-06-16,148,true
10,Automated discrete forecast,"Campbell, Heath and Jones",Active,2025-09-18,2027-05-08,115,true
