DOC_ID,TITLE,CATEGORY,AUDIENCE,CONTENT
1,About Northwind Manufacturing,Company Info,All,"Northwind Manufacturing produces industrial automation components — sensors, motors, controllers, and hydraulic systems — for manufacturers across Southeast Asia. We run our operations on Microsoft Dynamics 365 Business Central, covering sales, purchasing, inventory, and finance."
2,Standard Payment Terms,Finance Policy,All,Default customer payment terms are Net 30 from invoice date. Strategic accounts may be granted Net 45 or Net 60 with finance approval. Early-payment discounts of 2% are offered for payment within 10 days (2/10 Net 30).
3,Credit Policy and Limits,Finance Policy,Internal,"Every customer is assigned a credit limit based on trading history and a credit check: 50,000 for new accounts, up to 500,000 for established accounts. Orders that would exceed the credit limit are placed on credit hold and require finance approval before release."
4,Returns and RMA Policy,Finance Policy,All,Returns are accepted within 30 days of delivery with a Return Merchandise Authorization (RMA) number. Items must be unused and in original packaging. A 15% restocking fee applies to non-defective returns. Defective items are replaced or fully credited at no charge.
5,Revenue Recognition,Finance Policy,Internal,"Revenue is recognized when control of goods transfers to the customer, which for most orders is at shipment (FOB shipping point). Service and installation revenue is recognized as the service is performed."
6,Procurement Policy,Finance Policy,Internal,"Purchases above 10,000 require a purchase order and two quotes. Purchases above 50,000 require department-head and finance sign-off. Preferred vendors are reviewed annually on price, quality, and lead time."
7,Invoice and Collections Process,Finance Policy,Internal,"Invoices are issued on shipment. AR sends reminders at 7 days before due, on the due date, and at 15/30/60 days overdue. Accounts more than 60 days overdue are escalated and may be placed on credit hold."
8,Currencies and FX,Finance Policy,Internal,"We transact in SGD, THB, USD, and VND. Foreign-currency invoices are revalued at month-end using the closing rate; realized and unrealized FX gains and losses are posted to the FX account."
9,Order-to-Cash Workflow,Operations,All,"A sales order moves through statuses Open → Released → Invoiced (or Cancelled). On release, inventory is allocated; on shipment, an invoice is generated and revenue posts to the general ledger."
10,Inventory and Reorder Policy,Operations,Internal,"Each item has a reorder point and safety stock. When on-hand inventory falls below the reorder point, a purchase requisition is suggested. Slow-moving stock over 180 days is reviewed for write-down."
11,Shipping and Delivery,Operations,All,"Standard delivery is 3–7 business days within the region. Expedited shipping is available at cost. Orders placed before 14:00 local time ship the same day, subject to stock availability."
12,Warranty Terms,Operations,All,Hardware carries a 12-month limited warranty against manufacturing defects. Wear components and consumables are excluded. Extended warranties are available for purchase on selected product lines.
13,Product Catalog — Automation,Catalog,External,"Our automation line includes PLC Controllers, Servo Motors, Control Modules, and Safety Relays designed for industrial control cabinets. All units are CE-marked and support standard fieldbus protocols."
14,Product Catalog — Mechanical,Catalog,External,"Mechanical components include Hydraulic Pumps, Pressure Valves, Bearing Assemblies, Gear Boxes, and Linear Actuators, available in metric and imperial sizing with documented load ratings."
15,Product Catalog — Consumables,Catalog,External,"Consumables include Filtration Cartridges, Welding Electrode Packs, and Lubricant Drums. We offer subscription replenishment with volume pricing for high-usage accounts."
16,Volume Pricing and Discounts,Finance Policy,All,"Volume discounts apply on a per-line basis: 5% for orders over 10,000, 10% over 50,000, and negotiated pricing over 250,000. Contract customers receive a fixed annual price list."
17,Tax Handling,Finance Policy,Internal,Sales tax / GST is applied per the ship-to jurisdiction. Tax-exempt customers must provide a valid exemption certificate on file; invoices then show amounts excluding tax.
18,Month-End Close,Finance Policy,Internal,"The finance team closes the books within five business days of month-end: post recurring journals, reconcile AR/AP and bank, revalue FX, and review the trial balance before locking the period."
